#{"t_start": 1568274844.1745129, "env_id": null}
r,l,t
573.088642,101,3701.8448
101.419018,25,3705.932723
801.512152,125,3721.609964
132.152048,28,3726.248849
123.053929,31,3731.016951
102.149911,18,3733.824827
317.095153,51,3739.582329
130.348895,27,3743.479526
166.366124,33,3748.209491
127.193985,29,3752.740802
285.945252,49,3758.259414
128.636474,31,3763.052491
109.561265,21,3766.259212
139.899727,31,3770.944272
652.382046,102,3784.908553
653.543888,128,3800.626147
137.925407,27,3804.559103
529.088732,95,3816.996334
134.510752,28,3821.193158
343.226385,59,3827.931974
161.316888,34,3832.762148
633.134386,110,3846.207128
144.763784,29,3850.231207
87.936938,18,3852.956835
136.410176,32,3857.608158
-20.0,1,3857.878219
363.978458,58,3864.531206
113.133162,25,3868.721252
679.666079,120,3882.854284
83.306124,15,3885.240865
346.132166,56,3891.796483
203.872842,36,3897.121819
447.883357,79,3905.943016
79.062506,18,3908.898247
81.770367,18,3911.79473
273.876972,43,3917.076949
117.425963,27,3921.631239
121.937143,29,3926.109689
604.652901,96,3937.01947
158.673413,29,3941.161792
445.432786,60,3948.154829
333.05774,64,3956.775474
259.674212,39,3961.615773
234.976609,42,3966.880134
104.630411,27,3970.903034
114.868585,19,3973.534637
148.629215,31,3977.676488
576.788553,105,3988.911958
174.345921,36,3993.559248
132.129247,28,3997.452432
409.793879,84,4008.23853
287.315156,53,4014.069023
392.020086,68,4023.279101
322.293887,53,4029.149488
573.690989,91,4039.556099
292.462935,51,4045.453038
194.509771,35,4050.655253
622.946551,126,4064.494369
754.114719,128,4079.967284
120.780491,29,4084.692384
198.389281,35,4088.799315
607.942787,88,4099.248673
225.261637,45,4105.527498
824.822244,131,4123.174395
392.58758,74,4131.149221
313.868124,46,4136.426244
158.229396,27,4140.346272
130.619077,31,4145.446409
588.632585,89,4156.097826
286.291139,59,4164.892289
685.214931,99,4178.554933
-20.0,1,4178.683962
209.003938,36,4183.644345
106.448226,25,4187.831143
85.211208,20,4191.240912
216.433922,42,4197.670363
370.606112,65,4206.834432
210.1361,38,4211.622514
766.814311,113,4227.386301
91.720209,22,4231.098139
571.602271,91,4243.891929
168.607408,29,4248.203966
73.295948,18,4251.450699
283.69087,45,4256.701896
79.587195,19,4260.097652
1001.742441,137,4280.054281
75.750531,18,4283.241033
364.29325,58,4289.856064
547.243455,83,4300.337139
500.191473,92,4311.02254
96.003806,20,4314.404312
365.225415,73,4324.256446
72.412047,17,4327.133093
113.174363,27,4331.76169
525.371714,101,4342.947549
101.033668,23,4346.876436
368.45459,59,4353.756037
91.325478,22,4357.684402
478.698933,87,4367.803949
740.178297,124,4383.928873
274.412992,44,4390.504491
592.648632,100,4402.825684
770.102881,118,4416.922865
336.780518,66,4425.476633
518.892064,82,4435.580605
109.628873,26,4439.852621
284.909085,48,4445.685939
91.631811,22,4449.386772
552.557633,101,4460.822766
111.970168,27,4465.437329
91.456632,23,4469.345214
-20.0,1,4469.658283
748.02916,135,4484.821181
82.734666,19,4487.836861
109.79595,22,4491.609246
128.250934,28,4495.720862
729.566981,125,4510.135845
201.812225,44,4516.674332
90.872167,23,4520.622216
494.446631,86,4530.633669
260.506755,45,4537.272293
96.934352,25,4541.373204
175.874559,28,4545.534143
88.137648,20,4548.8429
432.876766,80,4557.539854
79.062262,19,4560.773586
146.414733,33,4565.83697
126.06688,26,4570.099532
443.358011,81,4581.562248
406.105244,58,4588.741521
97.070822,24,4592.753747
470.329871,83,4602.801185
264.89207,41,4607.88133
548.910149,87,4618.806801
300.280668,53,4625.514318
458.202302,74,4635.292994
106.222096,27,4640.018722
458.744919,81,4649.832937
372.619433,57,4656.650507
71.213453,17,4659.682191
127.909111,28,4664.177203
